date,sentiment_mean,article_count
2016-02-15,0.9940,1
2017-10-02,0.9970,1
2017-11-27,0.9930,2
2018-01-29,0.9950,1
2018-03-12,0.9910,1
2018-03-26,-0.2440,1
2018-04-16,0.9970,1
2018-06-18,-0.8070,1
2018-10-22,0.9950,1
2018-11-26,0.9980,1
2018-12-31,0.9795,2
2019-02-18,0.9970,1
2019-04-01,0.9940,1
2019-04-15,-0.0215,2
2019-04-22,0.3347,4
2019-04-29,0.0248,4
2019-05-06,-0.0405,2
2019-05-13,-0.2253,6
2019-05-20,0.2343,6
2019-05-27,-0.4650,5
2019-06-03,-0.4785,4
2019-06-10,-0.4825,4
2020-03-23,0.9732,4
2020-03-30,0.1555,2
2020-04-06,0.5055,4
2020-04-20,-0.0688,5
2020-04-27,0.9289,8
2020-05-04,0.8486,5
2020-05-11,0.6450,6
2020-05-18,0.9235,4
2020-05-25,0.9730,1
2020-06-08,0.9960,1
2020-06-15,0.9740,2
2020-06-22,-0.9080,1
2020-06-29,0.2473,6
2020-07-06,0.4769,7
2020-07-13,0.9254,9
2020-07-20,0.9870,2
2020-07-27,0.9760,2
2020-08-03,0.9445,13
2020-08-10,0.9488,5
2020-08-17,0.7594,10
2020-08-24,0.3178,12
2020-08-31,0.5200,18
2020-09-07,0.8843,7
2020-09-14,0.9030,11
2020-09-21,0.7253,6
2020-09-28,0.7004,9
2020-10-05,0.9863,6
2020-10-12,0.6744,13
2020-10-19,0.8405,10
2020-10-26,0.7296,12
2020-11-02,0.6091,7
2020-11-09,0.2967,13
2020-11-23,0.9447,6
2020-11-30,0.7786,9
2020-12-07,0.9911,8
2020-12-14,0.0502,32
2020-12-21,0.5953,15
2020-12-28,0.7092,12
2021-01-04,0.8790,26
2021-01-11,0.7670,29
2021-01-18,0.5223,26
2021-01-25,0.6850,32
2021-02-01,0.8161,25
2021-02-08,0.6860,48
2021-02-15,0.4038,44
2021-02-22,0.5280,54
2021-03-01,0.7193,62
2021-03-08,0.6789,91
2021-03-15,0.4634,144
2021-03-22,0.6311,138
2021-03-29,0.5574,158
2021-04-05,0.4626,153
2021-04-12,0.5851,132
2021-04-19,0.4702,236
2021-04-26,0.4493,426
2021-05-03,0.5343,178
2021-05-10,0.3686,132
2021-05-17,0.4913,187
2021-05-24,0.5891,142
2021-05-31,0.5909,124
2021-06-07,0.6185,207
2021-06-14,0.6736,163
2021-06-21,0.6524,189
2021-06-28,0.5859,153
2021-07-05,0.3873,119
2021-07-12,0.5696,173
2021-07-19,0.5548,136
2021-07-26,0.4833,251
2021-08-02,0.4599,129
2021-08-09,0.4755,114
2021-08-16,0.4143,118
2021-08-23,0.5451,110
2021-08-30,0.4829,167
2021-09-06,0.4818,186
2021-09-13,0.3221,268
2021-09-20,0.3648,155
2021-09-27,0.4803,112
2021-10-04,0.4279,124
2021-10-11,0.3071,165
2021-10-18,0.4571,215
2021-10-25,0.4608,331
2021-11-01,0.5548,139
2021-11-08,0.4695,115
2021-11-15,0.5119,158
2021-11-22,0.4563,103
2021-11-29,0.3694,174
2021-12-06,0.5340,195
2021-12-13,0.4671,206
2021-12-20,0.5957,104
2021-12-27,0.5201,153
2022-01-03,0.6127,163
2022-01-10,0.5991,167
2022-01-17,0.6029,186
2022-01-24,0.4927,266
2022-01-31,0.5184,247
2022-02-07,0.6161,200
2022-02-14,0.4400,160
2022-02-21,0.5092,129
2022-02-28,0.2400,181
2022-03-07,0.3383,228
2022-03-14,0.3486,168
2022-03-21,0.4711,160
2022-03-28,0.5015,229
2022-04-04,0.4921,133
2022-04-11,0.4403,149
2022-04-18,0.5529,157
2022-04-25,0.2989,263
2022-05-02,0.2376,152
2022-05-09,0.3598,178
2022-05-16,0.4284,152
2022-05-23,0.4146,163
2022-05-30,0.4056,113
2022-06-06,0.4777,268
2022-06-13,0.4811,172
2022-06-20,0.5472,130
2022-06-27,0.3879,193
2022-07-04,0.3936,120
2022-07-11,0.3452,138
2022-07-18,0.4192,216
2022-07-25,0.3849,258
2022-08-01,0.4528,135
2022-08-08,0.4067,147
2022-08-15,0.4363,175
2022-08-22,0.4921,144
2022-08-29,0.4451,144
2022-09-05,0.4892,228
2022-09-12,0.4810,166
2022-09-19,0.5078,137
2022-09-26,0.4038,197
2022-10-03,0.4430,154
2022-10-10,0.4502,139
2022-10-17,0.5282,134
2022-10-24,0.4470,218
2022-10-31,0.3272,162
2022-11-07,0.3484,174
2022-11-14,0.4201,131
2022-11-21,0.3523,140
2022-11-28,0.0722,254
2022-12-05,0.2394,182
2022-12-12,0.4545,113
2022-12-19,0.4327,114
2022-12-26,0.2949,123
2023-01-02,0.3288,149
2023-01-09,0.3849,169
2023-01-16,0.4509,128
2023-01-23,0.4895,120
2023-01-30,0.3440,265
2023-02-06,0.4366,111
2023-02-13,0.5700,112
2023-02-20,0.5059,90
2023-02-27,0.4107,142
2023-03-06,0.4334,129
2023-03-13,0.5025,117
2023-03-20,0.5165,106
2023-03-27,0.5495,123
2023-04-03,0.4559,121
2023-04-10,0.4329,139
2023-04-17,0.5797,159
2023-04-24,0.6161,96
2023-05-01,0.5336,216
2023-05-08,0.6044,101
2023-05-15,0.5132,113
2023-05-22,0.6082,55
2023-05-29,0.5804,136
2023-06-05,0.5147,257
2023-06-12,0.6811,130
2023-06-19,0.6758,91
2023-06-26,0.4213,166
2023-07-03,0.6041,101
2023-07-10,0.6216,103
2023-07-17,0.6561,105
2023-07-24,0.5860,125
2023-07-31,0.6085,175
2023-08-07,0.6127,122
2023-08-14,0.5697,105
2023-08-21,0.6463,113
2023-08-28,0.6666,118
2023-09-04,0.2418,263
2023-09-11,0.4934,328
2023-09-18,0.5598,209
2023-09-25,0.4468,154
2023-10-02,0.4448,170
2023-10-09,0.5644,132
2023-10-16,0.5579,130
2023-10-23,0.4642,182
2023-10-30,0.5012,258
2023-11-06,0.4997,156
2023-11-13,0.6533,181
2023-11-20,0.5225,123
2023-11-27,0.5780,151
2023-12-04,0.5258,184
2023-12-11,0.5365,167
2023-12-18,0.4227,148
2023-12-25,0.3989,160
2024-01-01,0.4461,172
2024-01-08,0.6042,148
2024-01-15,0.5195,217
2024-01-22,0.5897,158
2024-01-29,0.6928,231
2024-02-05,0.6447,137
2024-02-12,0.6427,121
2024-02-19,0.6639,101
2024-02-26,0.6899,132
2024-03-04,0.5012,124
2024-03-11,0.5680,99
2024-03-18,0.6042,124
2024-03-25,0.6661,109
2024-04-01,0.5078,70
2024-04-08,0.5721,80
2024-04-15,0.6187,119
2024-04-22,0.4962,124
2024-04-29,0.6794,137
2024-05-06,0.6234,162
2024-05-13,0.7014,108
2024-05-20,0.6841,99
2024-05-27,0.6762,92
2024-06-03,0.7605,97
2024-06-10,0.6932,172
2024-06-17,0.7078,145
2024-06-24,0.6178,123
2024-07-01,0.6990,109
2024-07-08,0.7170,124
2024-07-15,0.7868,111
2024-07-22,0.6848,126
2024-07-29,0.6805,122
2024-08-05,0.5547,148
2024-08-12,0.7927,96
