date,sentiment_mean,sentiment_std,tweet_count,positive_ratio,negative_ratio,neutral_ratio,weighted_sentiment_mean
2025-06-08,0.2370,0.4534,120,0.5000,0.2250,0.2750,0.2307
2025-06-09,0.2347,0.4313,120,0.5667,0.1583,0.2750,0.2332
2025-06-10,0.1856,0.4876,120,0.4750,0.2167,0.3083,0.2036
2025-06-11,0.2331,0.4340,119,0.5294,0.1681,0.3025,0.2570
2025-06-12,0.2641,0.4584,120,0.5583,0.1583,0.2833,0.3119
2025-06-13,0.2437,0.5404,120,0.5500,0.2000,0.2500,0.2427
2025-06-14,0.3025,0.5235,119,0.6050,0.2017,0.1933,0.3373
2025-06-15,0.3745,0.4915,120,0.6250,0.1750,0.2000,0.3497
2025-06-16,0.1819,0.5167,120,0.4583,0.2333,0.3083,0.1641
2025-06-17,0.3235,0.4798,120,0.6417,0.1750,0.1833,0.3212
2025-06-18,0.3161,0.4960,120,0.6500,0.1833,0.1667,0.3321
2025-06-19,0.2721,0.4920,120,0.5500,0.2417,0.2083,0.2621
2025-06-20,0.3238,0.4619,120,0.6000,0.1333,0.2667,0.3081
2025-06-21,0.2944,0.4837,120,0.6167,0.1667,0.2167,0.2812
2025-06-22,0.2692,0.4985,120,0.5583,0.1750,0.2667,0.2703
2025-06-23,0.1878,0.5656,120,0.5000,0.2917,0.2083,0.2004
2025-06-24,0.2190,0.4794,120,0.5750,0.2250,0.2000,0.2052
2025-06-25,0.2776,0.4981,120,0.5750,0.1667,0.2583,0.2843
2025-06-26,0.2831,0.5111,120,0.6083,0.1583,0.2333,0.2633
2025-06-27,0.2600,0.5001,120,0.5583,0.1667,0.2750,0.2806
2025-06-28,0.3407,0.4694,120,0.6250,0.1500,0.2250,0.3478
2025-06-29,0.2128,0.4864,120,0.5500,0.2083,0.2417,0.2322
2025-06-30,0.3619,0.4769,120,0.6750,0.1250,0.2000,0.3420
2025-07-01,0.2634,0.4970,120,0.5833,0.1917,0.2250,0.2588
2025-07-02,0.3206,0.4883,117,0.6239,0.1795,0.1966,0.3461
2025-07-03,0.3557,0.5099,120,0.6417,0.1667,0.1917,0.3599
2025-07-04,0.3214,0.5105,120,0.6000,0.1750,0.2250,0.3217
2025-07-05,0.3703,0.4966,119,0.6303,0.1345,0.2353,0.3616
2025-07-06,0.3478,0.4674,119,0.6134,0.1092,0.2773,0.3445
2025-07-07,0.3479,0.4658,119,0.6387,0.1345,0.2269,0.3572
2025-07-08,0.2783,0.4814,120,0.5667,0.1833,0.2500,0.2909
2025-07-09,0.3101,0.4679,120,0.5750,0.1417,0.2833,0.3091
2025-07-10,0.2555,0.4767,120,0.5917,0.1667,0.2417,0.2556
2025-07-11,0.3186,0.4378,120,0.6417,0.1417,0.2167,0.3005
2025-07-12,0.2835,0.4779,120,0.5333,0.1167,0.3500,0.2409
2025-07-13,0.2852,0.4748,120,0.5917,0.1583,0.2500,0.2867
2025-07-14,0.2220,0.4229,120,0.5250,0.1500,0.3250,0.2194
2025-07-15,0.2837,0.4651,120,0.5583,0.1583,0.2833,0.2787
2025-07-16,0.3197,0.4600,120,0.6000,0.1667,0.2333,0.3060
2025-07-17,0.3758,0.4580,120,0.6500,0.1250,0.2250,0.3622
2025-07-18,0.3430,0.4534,120,0.6500,0.1500,0.2000,0.3676
2025-07-19,0.3032,0.5175,120,0.6167,0.2250,0.1583,0.2819
2025-07-20,0.2822,0.4978,119,0.5546,0.1933,0.2521,0.2748
2025-07-21,0.3344,0.5005,119,0.6471,0.1429,0.2101,0.3107
2025-07-22,0.4692,0.4578,120,0.6917,0.0833,0.2250,0.4882
2025-07-23,0.3639,0.4831,118,0.6271,0.1864,0.1864,0.3623
2025-07-24,0.3736,0.4671,120,0.7083,0.1417,0.1500,0.3740
2025-07-25,0.3602,0.4459,120,0.6583,0.1333,0.2083,0.3573
2025-07-26,0.2821,0.5099,120,0.5833,0.1750,0.2417,0.2806
2025-07-27,0.2795,0.5126,120,0.6417,0.2083,0.1500,0.3004
2025-07-28,0.2241,0.5065,120,0.5417,0.2250,0.2333,0.2412
2025-07-29,0.3128,0.4637,120,0.6417,0.1500,0.2083,0.2978
2025-07-30,0.2406,0.5265,120,0.5417,0.2250,0.2333,0.2622
2025-07-31,0.3791,0.4604,119,0.6639,0.1176,0.2185,0.4062
2025-08-01,0.2707,0.4892,120,0.5583,0.1917,0.2500,0.2790
2025-08-02,0.3094,0.5155,120,0.5917,0.1833,0.2250,0.3318
2025-08-03,0.3254,0.5046,120,0.6333,0.1667,0.2000,0.3174
2025-08-04,0.2471,0.4746,120,0.5667,0.1833,0.2500,0.2332
2025-08-05,0.3668,0.4779,120,0.6583,0.1500,0.1917,0.4093
2025-08-06,0.3146,0.5127,120,0.5750,0.1750,0.2500,0.3210
2025-08-07,0.2373,0.4883,119,0.5378,0.2017,0.2605,0.2287
2025-08-08,0.3893,0.4505,120,0.6750,0.1083,0.2167,0.4087
2025-08-09,0.3523,0.4425,120,0.6083,0.1167,0.2750,0.3867
2025-08-10,0.2927,0.4712,120,0.5250,0.1500,0.3250,0.3152
2025-08-11,0.2286,0.4940,120,0.5583,0.2083,0.2333,0.1985
2025-08-12,0.3392,0.4886,120,0.6250,0.1417,0.2333,0.3186
2025-08-13,0.2942,0.4796,119,0.5966,0.1597,0.2437,0.2842
2025-08-14,0.2665,0.4595,120,0.5667,0.1500,0.2833,0.2743
2025-08-15,0.3398,0.4752,120,0.6083,0.1250,0.2667,0.3616
2025-08-16,0.3505,0.4921,119,0.6639,0.1597,0.1765,0.3429
2025-08-17,0.3098,0.4494,120,0.5917,0.1167,0.2917,0.3221
2025-08-18,0.3369,0.4482,120,0.6083,0.1333,0.2583,0.3023
2025-08-19,0.2545,0.4896,120,0.5750,0.1667,0.2583,0.2428
2025-08-20,0.3560,0.5297,120,0.6750,0.1833,0.1417,0.3593
