date,sentiment_mean,tweet_count
2021-01-04,0.5270,1
2021-01-25,0.5110,1
2021-02-06,0.6810,1
2021-02-10,0.4220,1
2021-02-18,0.7180,1
2021-04-12,0.5110,1
2021-05-01,0.4220,1
2021-05-06,0.5720,1
2021-05-09,0.0000,1
2021-05-24,0.6910,1
2021-06-07,0.3820,1
2021-06-08,-0.0260,1
2021-06-18,-0.4220,1
2021-06-23,-0.0530,1
2021-07-05,0.0000,1
2021-07-08,0.0000,1
2021-07-20,-0.1500,1
2021-07-22,0.0000,1
2021-08-06,0.0000,2
2021-08-31,0.0000,1
2021-09-15,0.5990,1
2021-09-17,-0.0430,2
2021-09-18,0.6130,1
2021-09-19,0.9640,1
2021-09-20,0.1018,33
2021-09-21,0.1553,32
2021-09-22,0.1644,33
2021-09-23,0.3112,24
2021-09-24,0.0710,25
2021-09-25,0.1443,7
2021-09-26,0.3328,8
2021-09-27,0.0616,34
2021-09-28,0.1313,54
2021-09-29,0.2744,72
2021-09-30,0.5114,39
2021-10-01,0.5416,30
2021-10-02,0.4885,4
2021-10-03,0.3055,4
2021-10-04,0.2991,28
2021-10-05,0.4633,32
2021-10-06,0.3223,42
2021-10-07,0.8044,37
2021-10-08,0.5779,36
2021-10-09,0.1269,17
2021-10-10,0.2498,17
2021-10-11,0.4608,68
2021-10-12,0.3373,69
2021-10-13,0.3835,68
2021-10-14,0.4627,87
2021-10-15,0.4254,58
2021-10-16,0.3673,18
2021-10-17,0.4519,18
2021-10-18,0.5159,60
2021-10-19,0.5426,69
2021-10-20,0.4975,71
2021-10-21,0.3957,87
2021-10-22,0.4128,70
2021-10-23,0.4137,14
2021-10-24,0.4418,9
2021-10-25,0.6393,47
2021-10-26,0.8486,30
2021-10-27,0.6576,42
2021-10-28,0.6267,39
2021-10-29,0.6543,44
2021-10-30,0.3810,8
2021-10-31,0.8046,5
2021-11-01,0.6088,48
2021-11-02,0.4395,44
2021-11-03,0.5184,48
2021-11-04,0.5259,47
2021-11-05,0.6519,48
2021-11-06,0.3600,12
2021-11-07,0.2595,10
2021-11-08,0.4467,44
2021-11-09,0.6219,54
2021-11-10,0.5204,54
2021-11-11,0.2823,59
2021-11-12,0.4579,59
2021-11-13,0.6128,13
2021-11-14,0.4332,11
2021-11-15,0.5252,50
