date,sentiment_mean,trading_days
2015-07-06,0.9460,4
2015-07-13,0.7913,5
2015-07-20,0.6195,5
2015-07-27,0.7633,5
2015-08-03,1.5335,5
2015-08-10,1.9375,5
2015-08-17,1.9126,5
2015-08-24,1.8877,5
2015-08-31,1.7259,5
2015-09-07,1.3590,5
2015-09-14,1.0349,5
2015-09-21,0.9828,5
2015-09-28,0.9280,5
2015-10-05,0.7367,5
2015-10-12,0.5378,5
2015-10-19,0.3390,5
2015-10-26,0.4808,5
2015-11-02,0.8497,5
2015-11-09,0.9325,5
2015-11-16,0.9552,5
2015-11-23,0.9933,5
2015-11-30,0.9889,5
2015-12-07,0.9845,5
2015-12-14,0.9536,5
2015-12-21,0.9065,5
2015-12-28,0.8963,5
2016-01-04,1.6680,5
2016-01-11,1.4915,5
2016-01-18,1.1063,5
2016-01-25,0.7412,5
2016-02-01,0.7385,5
2016-02-08,0.8566,5
2016-02-15,0.9572,5
2016-02-22,0.9381,5
2016-02-29,0.9445,5
2016-03-07,0.9508,5
2016-03-14,0.9377,5
2016-03-21,0.9315,5
2016-03-28,0.9163,5
2016-04-04,3.2178,5
2016-04-11,2.9618,5
2016-04-18,1.9931,5
2016-04-25,1.0245,5
2016-05-02,0.9163,5
2016-05-09,1.4425,5
2016-05-16,1.1713,5
2016-05-23,0.9890,5
2016-05-30,0.9890,5
2016-06-06,0.9962,5
2016-06-13,0.9940,5
2016-06-20,0.9662,5
2016-06-27,0.9609,5
2016-07-04,0.9660,5
2016-07-11,0.9392,5
2016-07-18,0.9017,5
2016-07-25,0.8643,5
2016-08-01,0.8940,5
2016-08-08,0.9684,5
2016-08-15,0.9759,5
2016-08-22,0.9387,5
2016-08-29,0.9294,5
2016-09-05,1.4207,5
2016-09-12,1.2881,5
2016-09-19,0.9274,5
2016-09-26,0.9674,5
2016-10-03,0.9788,5
2016-10-10,0.9450,5
2016-10-17,0.9046,5
2016-10-24,0.8643,5
2016-10-31,0.8931,5
2016-11-07,0.9680,5
2016-11-14,1.3595,5
2016-11-21,1.5542,5
2016-11-28,2.3989,5
2016-12-05,3.2436,5
2016-12-12,4.0883,5
2016-12-19,4.9330,5
2016-12-26,5.7777,5
2017-01-02,6.4703,5
2017-01-09,4.4258,5
2017-01-16,1.6040,5
2017-01-23,1.2148,5
2017-01-30,1.1885,5
2017-02-06,0.9960,5
2017-02-13,0.9018,5
2017-02-20,0.9291,5
2017-02-27,0.9563,5
2017-03-06,0.9737,5
2017-03-13,0.9751,5
2017-03-20,0.9721,5
2017-03-27,0.9677,5
2017-04-03,0.8858,5
2017-04-10,0.9043,5
2017-04-17,0.9657,5
2017-04-24,0.9731,5
2017-05-01,0.9804,5
2017-05-08,2.4694,5
2017-05-15,1.1682,5
2017-05-22,0.9576,5
2017-05-29,1.6541,5
2017-06-05,1.3653,5
2017-06-12,0.9907,5
2017-06-19,1.3161,5
2017-06-26,1.7376,5
2017-07-03,1.0704,5
2017-07-10,0.8966,5
2017-07-17,0.8111,5
2017-07-24,0.7255,5
2017-07-31,1.6523,5
2017-08-07,1.2265,5
2017-08-14,1.0921,5
2017-08-21,1.4233,5
2017-08-28,1.1617,5
2017-09-04,1.6329,5
2017-09-11,2.1041,5
2017-09-18,2.5753,5
2017-09-25,1.8073,5
2017-10-02,1.9768,5
2017-10-09,2.8131,5
2017-10-16,2.4699,5
2017-10-23,1.8183,5
2017-10-30,0.9537,5
2017-11-06,0.9932,5
2017-11-13,0.9795,5
2017-11-20,1.5138,5
2017-11-27,1.5757,5
2017-12-04,0.9887,5
2017-12-11,0.9554,5
2017-12-18,1.6339,5
2017-12-25,2.8984,5
2018-01-01,4.1630,5
