,date,count,normalized
355,2021-01-04,1,0.527
354,2021-01-25,1,0.511
353,2021-02-06,1,0.681
352,2021-02-10,1,0.422
351,2021-02-18,1,0.718
350,2021-04-12,1,0.511
349,2021-05-01,1,0.422
348,2021-05-06,1,0.572
347,2021-05-09,1,0.0
346,2021-05-24,1,0.691
345,2021-06-07,1,0.382
344,2021-06-08,1,-0.026
343,2021-06-18,1,-0.422
342,2021-06-23,1,-0.053
341,2021-07-05,1,0.0
340,2021-07-08,1,0.0
339,2021-07-20,1,-0.15
338,2021-07-22,1,0.0
337,2021-08-06,2,0.0
336,2021-08-31,1,0.0
335,2021-09-15,1,0.599
334,2021-09-17,2,-0.043
333,2021-09-18,1,0.613
332,2021-09-19,1,0.964
331,2021-09-20,33,0.1018
330,2021-09-21,32,0.1553
329,2021-09-22,33,0.1644
328,2021-09-23,24,0.3112
327,2021-09-24,25,0.071
326,2021-09-25,7,0.1443
325,2021-09-26,8,0.3328
324,2021-09-27,34,0.0616
323,2021-09-28,54,0.1313
322,2021-09-29,72,0.2744
321,2021-09-30,39,0.5114
320,2021-10-01,30,0.5416
319,2021-10-02,4,0.4885
318,2021-10-03,4,0.3055
317,2021-10-04,28,0.2991
316,2021-10-05,32,0.4633
315,2021-10-06,42,0.3223
314,2021-10-07,37,0.8044
313,2021-10-08,36,0.5779
312,2021-10-09,17,0.1269
311,2021-10-10,17,0.2498
310,2021-10-11,68,0.4608
309,2021-10-12,69,0.3373
308,2021-10-13,68,0.3835
307,2021-10-14,87,0.4627
306,2021-10-15,58,0.4254
305,2021-10-16,18,0.3673
304,2021-10-17,18,0.4519
303,2021-10-18,60,0.5159
302,2021-10-19,69,0.5426
301,2021-10-20,71,0.4975
300,2021-10-21,87,0.3957
299,2021-10-22,70,0.4128
298,2021-10-23,14,0.4137
297,2021-10-24,9,0.4418
296,2021-10-25,47,0.6393
295,2021-10-26,30,0.8486
294,2021-10-27,42,0.6576
293,2021-10-28,39,0.6267
292,2021-10-29,44,0.6543
291,2021-10-30,8,0.381
290,2021-10-31,5,0.8046
289,2021-11-01,48,0.6088
288,2021-11-02,44,0.4395
287,2021-11-03,48,0.5184
286,2021-11-04,47,0.5259
285,2021-11-05,48,0.6519
284,2021-11-06,12,0.36
283,2021-11-07,10,0.2595
282,2021-11-08,44,0.4467
281,2021-11-09,54,0.6219
280,2021-11-10,54,0.5204
279,2021-11-11,59,0.2823
278,2021-11-12,59,0.4579
277,2021-11-13,13,0.6128
276,2021-11-14,11,0.4332
275,2021-11-15,50,0.5252
274,2021-11-16,49,0.6119
273,2021-11-17,58,0.4663
272,2021-11-18,57,0.5089
271,2021-11-19,58,0.3713
270,2021-11-20,11,0.5121
269,2021-11-21,9,0.2916
268,2021-11-22,55,0.4936
267,2021-11-23,52,0.4576
266,2021-11-24,56,0.6629
265,2021-11-25,46,0.5685
264,2021-11-26,39,0.1761
263,2021-11-27,7,0.4854
262,2021-11-28,18,0.2522
261,2021-11-29,48,0.6398
260,2021-11-30,57,0.4807
259,2021-12-01,54,0.6367
258,2021-12-02,45,0.287
257,2021-12-03,59,0.6055
256,2021-12-04,15,0.3195
255,2021-12-05,12,0.4423
254,2021-12-06,47,0.529
253,2021-12-07,53,0.5022
252,2021-12-08,53,0.5806
251,2021-12-09,67,0.56
250,2021-12-10,49,0.5568
249,2021-12-11,17,0.4078
248,2021-12-12,12,0.6
247,2021-12-13,38,0.5786
246,2021-12-14,61,0.4854
245,2021-12-15,64,0.4263
244,2021-12-16,59,0.4647
243,2021-12-17,58,0.4523
242,2021-12-18,22,0.3243
241,2021-12-19,6,0.6228
240,2021-12-20,32,0.5775
239,2021-12-21,31,0.654
