date,finvader,high,low,adjusted_close
2015-07-07,0.9976,20.13,19.16,0.4791
2015-07-08,0.963223076923077,19.8,19.49,0.4757
2015-07-09,0.9288461538461539,20.05,19.29,0.4699
2015-07-10,0.8944692307692308,19.93,19.61,0.4781
2015-07-13,0.8600923076923077,19.99,19.745,0.4812
2015-07-14,0.8257153846153846,19.93,19.63,0.4815
2015-07-15,0.7913384615384615,19.97,19.57,0.4781
2015-07-16,0.7569615384615385,20.19,19.8,0.4887
2015-07-17,0.7225846153846154,20.14,19.81,0.4858
2015-07-20,0.6882076923076923,20.15,19.65,0.4769
2015-07-21,0.6538307692307692,20.07,19.66,0.4791
2015-07-22,0.6194538461538461,19.65,19.17,0.4697
2015-07-23,0.585076923076923,19.94,19.41,0.4757
2015-07-24,0.5507,19.81,19.34,0.4701
2015-07-27,0.62156,19.53,19.09,0.4674
2015-07-28,0.69242,19.86,19.16,0.4776
2015-07-29,0.76328,20.13,19.61,0.4834
2015-07-30,0.83414,20.22,19.92,0.4846
2015-07-31,0.905,20.11,19.83,0.4829
2015-08-03,1.1145,20.31,19.85,0.4912
2015-08-04,1.324,20.43,20.14,0.4931
2015-08-05,1.5335,20.89,20.535,0.4982
2015-08-06,1.743,20.68,20.11,0.495
2015-08-07,1.9525,23.37,21.88,0.5563
2015-08-10,1.9475125,23.95,22.68,0.5756
2015-08-11,1.942525,23.89,23.43,0.5727
2015-08-12,1.9375375,23.89,23.28,0.5742
2015-08-13,1.93255,23.8,23.46,0.5693
2015-08-14,1.9275625,23.68,23.36,0.5698
2015-08-17,1.922575,23.5,23.1,0.5662
2015-08-18,1.9175875,23.38,22.9,0.561
2015-08-19,1.9126,23.305,22.74,0.5588
2015-08-20,1.9076125,22.84,22.05,0.5387
2015-08-21,1.902625,22.37,21.45,0.5219
2015-08-24,1.8976375,21.83,20.0,0.5034
2015-08-25,1.89265,21.7,20.28,0.493
2015-08-26,1.8876625,21.83,20.78,0.5302
2015-08-27,1.882675,22.64,21.91,0.5501
2015-08-28,1.8776875,22.87,22.465,0.5525
2015-08-31,1.8727,22.78,22.385,0.5464
2015-09-01,1.799308333333333,22.2,21.4,0.5241
2015-09-02,1.725916666666667,22.22,21.78,0.5399
2015-09-03,1.652525,22.65,22.23,0.5413
2015-09-04,1.579133333333333,22.24,21.74,0.5287
2015-09-07,1.505741666666667,22.505,21.966,0.54
2015-09-08,1.43235,22.77,22.192,0.5513
2015-09-09,1.358958333333333,22.94,22.18,0.5404
2015-09-10,1.285566666666667,22.86,21.995,0.5489
2015-09-11,1.212175,22.8,22.235,0.5506
2015-09-14,1.138783333333333,22.83,22.57,0.5516
2015-09-15,1.065391666666667,23.06,22.63,0.5576
2015-09-16,0.992,23.23,22.725,0.5615
2015-09-17,0.9901555555555556,23.71,23.26,0.5666
2015-09-18,0.9883111111111111,23.49,22.85,0.5661
2015-09-21,0.9864666666666667,23.58,23.2,0.572
2015-09-22,0.9846222222222223,23.18,22.765,0.5564
2015-09-23,0.9827777777777778,23.14,22.82,0.5591
2015-09-24,0.9809333333333333,23.68,22.5,0.5698
